[ 2012-11-19T00:12:22+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T00:12:22+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001390s ]
[ 2012-11-19T00:12:22+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001755s ]
[ 2012-11-19T00:14:24+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T00:14:24+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001936s ]
[ 2012-11-19T00:14:24+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002349s ]
[ 2012-11-19T19:32:22+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T19:32:22+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001571s ]
[ 2012-11-19T19:32:22+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001922s ]
[ 2012-11-19T19:44:37+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T19:44:37+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001405s ]
[ 2012-11-19T19:44:37+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001767s ]
[ 2012-11-19T19:44:37+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002843s ]
[ 2012-11-19T19:44:37+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000313s ]
[ 2012-11-19T19:52:31+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T19:52:31+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001439s ]
[ 2012-11-19T19:52:31+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001794s ]
[ 2012-11-19T19:52:31+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `think_test` [ RunTime:0.000217s ]
[ 2012-11-19T19:52:31+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `think_test`  [ RunTime:0.000200s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.044679s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.045154s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001502s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001945s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | SQL: SHOW COLUMNS FROM `think_test` [ RunTime:0.000154s ]
[ 2012-11-19T20:00:01+08:00 ] /reachvc/admin.php/Index/index | SQL: SELECT * FROM `think_test`  [ RunTime:0.000222s ]
[ 2012-11-19T20:00:04+08:00 ] /reachvc/admin.php/index/index | ERR: (ThinkException) 鏃犳硶鍔犺浇妯″潡index
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Tag[ route_check ] --START--
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001466s ]
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001833s ]
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001279s ]
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001624s ]
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.003055s ]
[ 2012-11-19T20:10:27+08:00 ] /reachvc/admin.php/index/index | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000342s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001957s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002543s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002089s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002600s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.003513s ]
[ 2012-11-19T20:10:53+08:00 ] /reachvc/admin.php/Index/index | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000385s ]
[ 2012-11-19T21:13:01+08:00 ] /reachvc/admin.php/Index/index | ERR: (ThinkException) 由于目标计算机积极拒绝，无法连接。

[ 2012-11-19T21:19:19+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
