[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.072115s ]
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.042456s ]
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.126287s ]
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.019209s ]
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.019563s ]
[ 2012-12-10T18:30:58+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 125 行.
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 139 行.
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.207405s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.207718s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.020998s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.033177s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.009956s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.003314s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.068537s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.036854s ]
[ 2012-12-10T18:30:59+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.037166s ]
[ 2012-12-10T18:32:24+08:00 ] /yesow/admin.php/Public/main?PHPSESSID=89qplcscdcvlp7alvaf8ba6n40&_=1355135543969 | ERR: (ThinkException) 非法操作main
[ 2012-12-10T18:32:26+08:00 ] /yesow/admin.php/Public/password/?PHPSESSID=89qplcscdcvlp7alvaf8ba6n40&_=1355135546403 | ERR: (ThinkException) 非法操作password
[ 2012-12-10T18:32:28+08:00 ] /yesow/admin.php/Public/profile/?PHPSESSID=89qplcscdcvlp7alvaf8ba6n40&_=1355135548476 | ERR: (ThinkException) 非法操作profile
[ 2012-12-10T18:32:31+08:00 ] /yesow/admin.php/Public/logout/?PHPSESSID=89qplcscdcvlp7alvaf8ba6n40 | ERR: (ThinkException) 非法操作logout
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000990s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002047s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003508s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000649s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000951s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 125 行.
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 139 行.
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.036976s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037401s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000919s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001195s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000559s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001225s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005847s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000847s ]
[ 2012-12-10T18:32:34+08:00 ] /yesow/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001187s ]
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Run CheckRoute Behavior [ RunTime:0.001294s ]
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001734s ]
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001387s ]
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Run CheckLang Behavior [ RunTime:0.004976s ]
[ 2012-12-10T18:34:36+08:00 ] /yesow/admin.php/Public/main?_=1355135676254 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007028s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run CheckRoute Behavior [ RunTime:0.002074s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002508s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001260s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run CheckLang Behavior [ RunTime:0.002489s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004264s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run LocationTemplate Behavior [ RunTime:0.001051s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001431s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run ParseTemplate Behavior [ RunTime:0.077801s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.078127s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run ContentReplace Behavior [ RunTime:0.001356s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run TokenBuild Behavior [ RunTime:0.001352s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001767s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run ShowRuntime Behavior [ RunTime:0.001441s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007186s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001228s ]
[ 2012-12-10T18:38:58+08:00 ] /yesow/admin.php/Public/main?_=1355135938739 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001648s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run CheckRoute Behavior [ RunTime:0.001424s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001784s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001420s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run CheckLang Behavior [ RunTime:0.002566s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004596s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run LocationTemplate Behavior [ RunTime:0.001182s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001572s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run ParseTemplate Behavior [ RunTime:0.020080s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020565s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run ContentReplace Behavior [ RunTime:0.001456s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run TokenBuild Behavior [ RunTime:0.001188s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000546s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run ShowRuntime Behavior [ RunTime:0.001292s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005485s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000783s ]
[ 2012-12-10T18:40:02+08:00 ] /yesow/admin.php/Public/main?_=1355136002154 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001084s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run CheckRoute Behavior [ RunTime:0.001147s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001503s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001232s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run CheckLang Behavior [ RunTime:0.003847s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005895s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run LocationTemplate Behavior [ RunTime:0.001191s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001659s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ParseTemplate Behavior [ RunTime:0.016694s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017034s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ContentReplace Behavior [ RunTime:0.000783s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run TokenBuild Behavior [ RunTime:0.000960s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000453s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ShowRuntime Behavior [ RunTime:0.001446s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004583s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000795s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001108s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run CheckRoute Behavior [ RunTime:0.001231s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001580s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001912s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run CheckLang Behavior [ RunTime:0.002231s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004739s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run LocationTemplate Behavior [ RunTime:0.000757s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001081s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ParseTemplate Behavior [ RunTime:0.016966s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017453s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_filter ] --START--
